City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
165,Haines Junction,CA,2020-11-26 00:50:50,60.75,-137.51,3.2,84,100,3.36
166,Coahuayana,MX,2020-11-26 00:50:50,18.73,-103.68,78.8,78,20,11.41
167,Krasnaya Gorka,RU,2020-11-26 00:50:50,55.2,56.67,22.42,98,100,4.61
168,Pisco,PE,2020-11-26 00:50:50,-13.7,-76.22,64.4,82,0,18.34
169,Nantucket,US,2020-11-26 00:48:30,41.28,-70.1,55.4,87,90,12.75
170,Pueblo Bello,CO,2020-11-26 00:50:51,8.2,-76.53,74.89,92,100,3.74
171,Santiago De Maria,SV,2020-11-26 00:50:51,13.48,-88.47,80.6,78,20,4.7
172,Guerrero Negro,MX,2020-11-26 00:50:51,27.98,-114.06,62.83,83,58,11.34
173,Ponta Do Sol,PT,2020-11-26 00:50:51,32.67,-17.1,53.6,71,40,12.75
174,Cape Canaveral,US,2020-11-26 00:50:51,28.41,-80.6,73.4,83,1,4.7
175,Isangel,VU,2020-11-26 00:50:51,-19.55,169.27,86.0,74,75,5.82
176,Taoudenni,ML,2020-11-26 00:50:51,22.68,-3.98,60.76,41,0,9.55
177,Carahue,CL,2020-11-26 00:50:51,-38.7,-73.17,53.6,66,0,3.36
178,Lasa,IT,2020-11-26 00:50:51,46.62,10.7,28.4,79,5,2.33
179,Isla Mujeres,MX,2020-11-26 00:50:52,21.23,-86.73,78.8,78,75,8.05
180,Harper,LR,2020-11-26 00:50:52,4.38,-7.72,77.23,89,29,7.96
181,Afua,BR,2020-11-26 00:50:52,-0.16,-50.39,78.4,85,62,6.73
182,Souillac,MU,2020-11-26 00:50:52,-20.52,57.52,75.2,88,75,16.11
183,Chokurdakh,RU,2020-11-26 00:50:52,70.63,147.92,0.5,94,100,15.01
184,Merauke,ID,2020-11-26 00:50:52,-8.47,140.33,80.49,83,98,13.78
185,Ilulissat,GL,2020-11-26 00:50:52,69.22,-51.1,30.2,58,100,10.29
186,Dingle,PH,2020-11-26 00:50:52,11.0,122.67,81.86,81,100,13.71
187,Sorong,ID,2020-11-26 00:47:03,-0.88,131.25,83.28,72,95,0.27
188,Hamilton,US,2020-11-26 00:50:46,39.18,-84.53,59.0,87,90,12.75
